songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,27.62213650002377,2.519995905458927e-05,-0.1648148148148148,0.10648148148148148,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.917921100044623,5.440000677481294e-05,28.917921100044623,0.3074074074074074,-0.45925925925925926,1,0,0,consentBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.15646300005028,4.819995956495404e-05,0.2814814814814815,-0.1712962962962963,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,subtract,54,13,41,49,42,45,0,0,0,1,0,0,0,50,,,,,,,,,,,,,,,,,,,,,,,,37.20124740002211,0.028068499988876283,0.2814814814814815,-0.1712962962962963,1,0,0,38.03316290001385,38.03316290001385,38.03316290001385,38.03316290001385,38.03316290001385,0.06388039997546002,38.03316290001385,True,-0.11388888888888889,-0.4009259259259259,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,add,58,54,112,117,118,114,0,0,0,1,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.517718800052535,46.517718800052535,46.517718800052535,46.517718800052535,46.517718800052535,0.018211600021459162,46.517718800052535,True,-0.287962962962963,-0.38981481481481484,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,14,5,70,73,77,75,0,0,0,1,0,2,2,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.29814220004482,49.29814220004482,49.29814220004482,49.29814220004482,49.29814220004482,0.0148425999796018,49.29814220004482,True,-0.30092592592592593,-0.39814814814814814,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,6,5,30,40,36,38,0,0,0,1,0,3,3,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.56419930001721,53.56419930001721,53.56419930001721,53.56419930001721,53.56419930001721,0.014252800028771162,53.56419930001721,True,0.09814814814814815,-0.40555555555555556,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,6,10,60,68,63,67,0,0,0,1,0,4,4,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.767255900020245,55.767255900020245,55.767255900020245,55.767255900020245,55.767255900020245,0.015074800001457334,55.767255900020245,True,-0.09907407407407408,-0.4074074074074074,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,subtract,56,54,2,8,5,9,0,0,0,1,0,5,5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1969681000337,57.1969681000337,57.1969681000337,57.1969681000337,57.1969681000337,0.014529900043271482,57.1969681000337,True,-0.30185185185185187,-0.3962962962962963,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,19,10,190,200,202,194,0,0,0,1,0,6,6,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.99672620004276,59.99672620004276,59.99672620004276,59.99672620004276,59.99672620004276,0.01308699999935925,59.99672620004276,True,-0.31851851851851853,-0.39444444444444443,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
