songfilename,SongName,Speed,Condition,fileblock,testdurationsec,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,13.23653639999975,1.630000042496249e-05,-0.07592592592592592,0.032407407407407406,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2022-11-02_01h11.45.986,musicalMathTest,2022.2.4,59.89767081835093,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.977368400002888,1.7599995771888644e-05,16.977368400002888,0.36527777777777776,-0.4615740740740741,1,0,0,consentBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2022-11-02_01h11.45.986,musicalMathTest,2022.2.4,59.89767081835093,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.07839270000113,1.2999997125007212e-05,0.3523148148148148,-0.11064814814814815,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2022-11-02_01h11.45.986,musicalMathTest,2022.2.4,59.89767081835093,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,subtract,42,39,3,7,8,5,0,0,0,8,0,0,0,33,,,,,,,,,,,,,,,,,,,,,,,,18.87766019999981,0.015759300003992394,0.3523148148148148,-0.11064814814814815,1,0,0,19.474645399997826,19.474645399997826,19.474645399997826,19.474645399997826,19.474645399997826,0.03856220000307076,19.474645399997826,True,0.1037037037037037,-0.3958333333333333,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-02_01h11.45.986,musicalMathTest,2022.2.4,59.89767081835093,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,multiply,5,15,75,77,85,77,0,0,0,8,0,1,1,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.832809300001827,26.832809300001827,26.832809300001827,26.832809300001827,26.832809300001827,0.007419499997922685,26.832809300001827,True,-0.3,-0.39675925925925926,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-02_01h11.45.986,musicalMathTest,2022.2.4,59.89767081835093,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,multiply,10,3,30,32,33,37,0,0,0,8,0,2,2,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.855779500001518,31.855779500001518,31.855779500001518,31.855779500001518,31.855779500001518,0.007338899995374959,31.855779500001518,True,0.11574074074074074,-0.40370370370370373,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-02_01h11.45.986,musicalMathTest,2022.2.4,59.89767081835093,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,add,55,55,110,115,117,111,0,0,0,8,0,3,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.26004449999891,33.26004449999891,33.26004449999891,33.26004449999891,33.26004449999891,0.010085800000524614,33.26004449999891,True,-0.29768518518518516,-0.4023148148148148,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-02_01h11.45.986,musicalMathTest,2022.2.4,59.89767081835093,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,subtract,55,19,36,42,43,37,0,0,0,8,0,4,4,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71308950000093,35.71308950000093,35.71308950000093,35.71308950000093,35.71308950000093,0.009100800001760945,35.71308950000093,True,0.09768518518518518,-0.39490740740740743,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-02_01h11.45.986,musicalMathTest,2022.2.4,59.89767081835093,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,multiply,2,4,8,11,13,9,0,0,0,8,0,5,5,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.13337039999897,43.13337039999897,43.13337039999897,43.13337039999897,43.13337039999897,0.005913699998927768,43.13337039999897,True,0.09768518518518518,-0.39444444444444443,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-02_01h11.45.986,musicalMathTest,2022.2.4,59.89767081835093,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,subtract,40,39,1,6,3,9,0,0,0,8,0,6,6,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.217684099996404,45.217684099996404,45.217684099996404,45.217684099996404,45.217684099996404,0.016458800004329532,45.217684099996404,True,-0.1050925925925926,-0.39166666666666666,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-02_01h11.45.986,musicalMathTest,2022.2.4,59.89767081835093,
