songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,106.77893900003983,1.390004763379693e-05,0.3472222222222222,0.06574074074074074,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-01_12h24.03.448,musicalMathTest,2022.2.0,59.98710278642976,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.94563370000105,1.6400008462369442e-05,107.94563370000105,0.37962962962962965,-0.43333333333333335,1,0,0,consentBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-01_12h24.03.448,musicalMathTest,2022.2.0,59.98710278642976,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.8122474999982,1.0299962013959885e-05,0.24814814814814815,-0.2564814814814815,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-01_12h24.03.448,musicalMathTest,2022.2.0,59.98710278642976,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,multiply,10,3,30,37,39,35,0,0,0,5,0,0,0,102,,,,,,,,,,,,,,,,,,,,,,,,109.16276610002387,0.019398100033868104,0.22777777777777777,-0.24074074074074073,1,0,0,109.56224480003584,109.56224480003584,109.56224480003584,109.56224480003584,109.56224480003584,0.020747800008393824,109.56224480003584,True,-0.09259259259259259,-0.39444444444444443,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_12h24.03.448,musicalMathTest,2022.2.0,59.98710278642976,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,subtract,55,19,36,42,43,37,0,0,0,5,0,1,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.86221829999704,110.86221829999704,110.86221829999704,110.86221829999704,110.86221829999704,0.005307999963406473,110.86221829999704,True,0.09166666666666666,-0.4,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_12h24.03.448,musicalMathTest,2022.2.0,59.98710278642976,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,subtract,39,10,29,33,34,33,0,0,0,5,0,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.1121594000142,115.1121594000142,115.1121594000142,115.1121594000142,115.1121594000142,0.003207000030670315,115.1121594000142,True,-0.08888888888888889,-0.4046296296296296,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_12h24.03.448,musicalMathTest,2022.2.0,59.98710278642976,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,multiply,3,10,30,31,32,37,0,0,0,5,0,3,3,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.44540530000813,117.44540530000813,117.44540530000813,117.44540530000813,117.44540530000813,0.003409800003282726,117.44540530000813,True,-0.30092592592592593,-0.39814814814814814,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_12h24.03.448,musicalMathTest,2022.2.0,59.98710278642976,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,add,19,19,38,43,48,42,0,0,0,5,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.79542880004738,118.79542880004738,118.79542880004738,118.79542880004738,118.79542880004738,0.004780700022820383,118.79542880004738,True,-0.2972222222222222,-0.4074074074074074,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_12h24.03.448,musicalMathTest,2022.2.0,59.98710278642976,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,subtract,23,15,8,13,11,12,0,0,0,5,0,5,5,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.27876860002289,121.27876860002289,121.27876860002289,121.27876860002289,121.27876860002289,0.004210799990687519,121.27876860002289,True,-0.09907407407407408,-0.40370370370370373,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_12h24.03.448,musicalMathTest,2022.2.0,59.98710278642976,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,multiply,5,4,20,26,21,28,0,0,0,5,0,6,6,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.89532519999193,125.89532519999193,125.89532519999193,125.89532519999193,125.89532519999193,0.0036847000010311604,125.89532519999193,True,-0.2898148148148148,-0.4046296296296296,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_12h24.03.448,musicalMathTest,2022.2.0,59.98710278642976,
